title,genre,score,synopsis
Bottled with Love,"Drama, Romance",7.0,"After being stood up, Abbey gets inspired to open her heart in a letter, put it in a bottle and toss it out to sea. Months later, a man fishing discovers it and opts to reach out."
Çalikusu,"Drama, History, Romance",7.4,"The show brings a new perspective to the classic Turkish book, Calikusu. Feride, the main character has been orphaned as a young girl, and is forced to attend a boarding school while also visiting her aunt during breaks, and holidays. During this time she has fallen in love with her charming older cousin Kamran. Their love soon grows to be mutual and this shows marks their journey as their love grows and intensifies. The highly acclaimed television show will take you through this journey of love, bravery, and humor."
Red vs. Blue,"Animation, Short, Action",8.4,"In the near future, ten soldiers battle for control of the most worthless spot in the galaxy - a box canyon in the middle of nowhere. Red Vs Blue documents the story of these two armies as they wage a war they really don't understand - or want to fight in the first place."
Kukhnya,"Adventure, Comedy, Drama",8.5,N/A
Backstrom,"Comedy, Crime, Drama",7.3,"The Portland Police Bureau's Elite Special Crimes Unit is led by Det. Lt. Everett Backstrom, an alcoholic smoker whose health is failing, but he takes on cases in special circumstances."
Darwin's Game,"Animation, Action, Drama",7.2,"Darwin's Game focuses on 17-year old Kaname Sudou, who accepts an online invitation from a friend to play a mobile game called Darwin's Game. He had no idea that the game involves a fight between the two players and you might actually die both in the game and in real life. To win the fight, players are given a Sigil, an evolutionary ability that varies from player to player and only the most skillful players will be able to clear the game and survive. Kaname determines to clear the game, find the creators of the game and take revenge upon them."
Popeye the Sailor,"Animation, Adventure, Comedy",7.1,"The continuing animated adventures of Olive Oyl, Wimpy, Swee'pea and Popeye."
Intervention,"Documentary, Drama",7.9,"This reality television show features all different types of addictions (drugs, alcohol, eating disorders, etc) and real people living with them on a day to day basis. Each show features one or two different types of addicts, follows them around to view their lifestyle and how it affects those around them. At the end, an interventionist is brought in and family and friends tell the addict why they want them to get help."
Nailed It!,"Game-Show, Reality-TV",7.4,"Home bakers with a terrible track record take a crack at re- creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess."
Law School,"Crime, Drama, Mystery",8.0,"When a grim incident occurs at their prestigious school, justice through law is put to a test by a tough law professor and his ambitious students."
Log Horizon,"Animation, Action, Adventure",7.6,"Elder Tale is an online fantasy RPG that has become popular worldwide. But when its twelfth expansion package, ""Novasphere Pioneers"" is installed, thirty thousand players in Japan are trapped inside. Among them is grad student Shiroe, who isn't very good at interacting with others. But to survive in a world full of monsters, he forms a guild called ""Log Horizon"" with an eclectic group of other players."
River Monsters,"Documentary, Adventure, Mystery",8.1,"Biologist and extreme angler, Jeremy Wade, is on the hunt for freshwater fish with a taste for human flesh. Jeremy travels the globe risking life and limb, to investigate freshwater mysteries and uncover the truth about the dark secrets of our planet's rivers."
Long Way Up,"Documentary, Adventure, Reality-TV",8.2,"Ewan McGregor and his friend Charley Boorman travel on electric Harley-Davidsons 13,000 miles through Central and South America."
Lenox Hill,Documentary,8.7,"An intimate look at the lives of four doctors - two brain surgeons, an emergency room physician, and a Chief Resident OBGYN - as they navigate the highs and lows of working at the renowned Lenox Hill Hospital in New York City."
Afterlife,"Drama, Horror, Mystery",7.9,University lecturer Robert Bridge becomes involved in a series of supernatural events surrounding medium Alison Mundy in this chilling TV series.
Aquí no hay quien viva,"Comedy, Romance",8.1,Follows the inhabitants of a fictional building in Spain.
The Night Stalker,"Horror, Mystery",7.5,"Carl Kolchak is a newspaper reporter with an abrasive personality that has gotten him fired ten times from various big-city papers. Now he's reduced to reporting for a relatively small-time paper in Las Vegas. It's here he gets the story of his life. But will the local sheriff, or the D.A., or even his own boss, let him print it? He has an ally in the FBI agent brought in to investigate this strange case. It seems someone is biting the necks of young girls and draining their blood. Can this killer with supernormal powers really be a 70-year-old Rumanian millionaire? Can he really be a vampire? And can an aging reporter do anything to stop him?"
Tosh.0,Comedy,7.3,Daniel Tosh provides humorous commentary on content from the Internet.
Turn Up Charlie,"Comedy, Music",7.1,"Charlie, a struggling DJ and eternal bachelor is given a final chance at success when he reluctantly becomes a nanny to his famous best friend's problem-child daughter."
Game-On,Comedy,7.9,"The comic daily lives of three misfits who share a London flat. Beautiful, intelligent blonde Mandy can't seem to keep a job or keep the wrong men from falling in love with her; Matthew owns that flat but can't step outside yet still manages to live out some bizarre fantasies much to his flatmates' chagrin; and red-haired dreamer Martin can't seem to find the right woman but while he looks he has an on/off relationship with Clare."
The Invisible Man,"Action, Comedy, Sci-Fi",7.4,"The film follows Cecilia, who receives the news of her abusive ex-boyfriend's suicide. She begins to re-build her life for the better. However, her sense of reality is put into question when she begins to suspect her deceased lover is not actually dead."
Sex & Drugs & Rock & Roll,"Comedy, Music",7.1,"""Socially awkward high school student Otis may not have much experience in the lovemaking department, but he gets good guidance on the topic in his personal sex ed course -- living with mom Jean, who is a sex therapist. Being surrounded by manuals, videos and tediously open conversations about sex, Otis has become a reluctant expert on the subject. When his classmates learn about his home life, Otis decides to use his insider knowledge to improve his status at school, so he teams with whip-smart bad girl Maeve to set up an underground sex therapy clinic to deal with their classmates' problems. But through his analysis of teenage sexuality, Otis realizes that he may need some therapy of his own."
El embarcadero,"Drama, Mystery",7.1,"High-profile architect Alexandra faces her worst nightmare when she gets a call from local cop Conrado to identify her husband Oscar's body, found on a pier in the beautiful Albufera landscape outside Valencia. Suicide? How can it be when they had made plans for their future just hours ago? But it only gets worse: Oscar had been leading a double-life with another woman, Veronica. Who is this woman? Who was the man she loved for 15 years? And what happened that fatal night on the pier? Taking on a false identity, Alex moves in with Veronica and, with Conrado's help, delves into the secrets Oscar kept, soon leading her to question who, in the enchanting remoteness of the Albufera, is friend, who is foe. Though Alex would love to hate Veronica, Alex discovers an alluring woman who leads a life so enticingly different from her own. But will the bond they forge over Oscar's death survive the moment when Alex must reveal her true identity? Or can an even closer bond develop giving the Alex and Veronica the strength to uncover the whole truth together?"
The Tom and Jerry Show,"Animation, Adventure, Comedy",7.1,A cat and mouse brawl with each other.
Pure,"Comedy, Drama",7.3,"Katarina is 20 years old. With a troubled past in a dreary suburb, her life seems to be already set in stone - until she discovers music. Everything changes when she hears a performance of Mozart's Requiem at the Gothenburg Concert Hall that sends her reeling and opens up a beautiful new world. She feels that she has to change her life and get as far away from her ugly reality as possible. But the path she has to follow proves a treacherous one, filled with lies, betrayal and a dangerous liaison with the married conductor Adam. Yet Katarina is ready to do anything to gain her new identity."
To the Manor Born,"Comedy, Romance",7.4,"When her husband dies. Audrey fforbes-Hamilton is shocked when she realizes that she must leave Grantleigh Manor, where her family has lived forever. The new owner is Richard DeVere, owner of a major supermarket chain. Audrey makes sure she's on hand to keep an eye on him by buying The Old Lodge on the edge of the Manor grounds. In time, Richard and Audrey realize that they are falling for each other, but both are too shy to do anything about it. Richard's mother, Mrs. Polouvicka (he changed his name to help him in his business), knows the situation between Richard and Audrey and is determined to see that Richard does the right thing. Audrey's friend Marjory Frobisher and butler Brabinger are on hand to help if necessary."
RuPaul's Drag Race UK,"Game-Show, Reality-TV",8.5,UK version of RuPaul's hit reality competition show where RuPaul searches for the country's next drag superstar.
Land Girls,Drama,7.0,"Follow the lives, loves and highs and lows of four members of the Women's Land Army who are working at the Hoxley Estate during World War II."
24: Redemption,"Action, Adventure, Crime",7.4,"Set 18 months where Season 6 of '24' left off, former government agent Jack Bauer is in a self-imposed exile in the fictitious African country of Sangala where he hopes to escape from a U.S. investigation of him for his past methods, and to run from his past. Bauer works at a mission school for orphaned children run by his friend Carl Benton. The country is at the mercy of a rogue warlord general named Juma who is plotting a coup to overthrow the government and his right-hand man Colonel Dubaku, is abducting orphan boys and forcibly recruiting them into Juma's army. Bauer and Benton must work together to save the dozen or so boys and try to get them out of the country before Juma takes over. Meanwhile in Washington D.C., it is Inauguration Day where the outgoing President Noah Daniels is handing over the presidency to the first female president Allison Taylor (Cherry Jones). Hearing about the coup, Daniels wants to evacuate the country before it falls to the rogue general, while Taylor thinks otherwise. Elsewhere, Taylor's son Roger and his fiancée Samantha get wind of information from a friend about suspicious money transactions where he works at a local brokerage firm. But neither he or Roger are aware that a corrupt corporate mogul, Jonas Hodges, is plotting with General Juma to overthrow the government for monetary purposes and will do anything to keep his nefarious plans under wraps."
100 Foot Wave,"Documentary, Sport",8.1,"Follows the decade-long odyssey of big-wave pioneer Garrett McNamara who, after visiting a small fishing village in Portugal, helped push the sport beyond the realm of imagination."
Prayers for Bobby,"Biography, Drama, Romance",8.0,"In ""Prayers for Bobby,"" Mary Griffith (Sigourney Weaver) is a devout Christian who raises her children with the conservative teachings of the Presbyterian Church. However, when her son Bobby (Ryan Kelley) confides to his older brother he may be gay, life changes for the entire family after Mary learns about his secret. While Bobby's father (Henry Czerny) and siblings slowly come to terms with his homosexuality, Mary believes God can cure him of what she considers his 'sin' and persuades Bobby to pray harder and seek solace in church activities in hopes of changing him. Desperate for his mother's approval, Bobby does what is asked of him, but through it all, the church's apparent disapproval of homosexuality causes him to grow increasingly withdrawn and depressed. Guilty over the pain he is causing Mary, Bobby moves away, yet hopes that some day his mother will accept him. His subsequent depression and self-loathing intensifies as he blames himself for not being the 'perfect' son and is driven to suicide. Faced with their tragedy, Mary begins to question her faith when she receives no answers from her pastor concerning her devastating loss. Through her long and emotional journey, Mary slowly reaches out to the gay community and discovers unexpected support from a very unlikely source. The film is based on the 1995 Leroy Aarons book of the same name."
French and Saunders,Comedy,7.6,"This BBC comedy skit show is the brainchild of longtime comedy duo Dawn French and Jennifer Saunders. Each episode featured satire on British life, television, and parodies on big box-office movies such as Batman Forever (1995) and Pulp Fiction (1994). The duo also invited notable Brits such as Patsy Kensit, Lulu, and Kate Moss."
The Whitest Kids U'Know,Comedy,8.5,A sketch comedy show involving five friends.
Mirai shônen Konan,"Animation, Adventure, Comedy",8.8,N/A
A Bit of Fry and Laurie,Comedy,8.3,"As the title suggests, ""A Bit of Fry and Laurie"" is less of a specific format than a 'coat-hanger' for short sketches, starring the comical duo in various, recurring or unique roles: Stephen Fry, the sophisticated giant who usually plays the smug one, and comparatively small Hugh Laurie, usually playing the patsy."
X Company,"Drama, War",7.6,"Set in the thrilling and dangerous world of WWII, follows the stories of five highly skilled young recruits, torn from their ordinary lives to train as agents in an ultra-secret facility."
The Lost Valentine,"Drama, Romance",7.4,"Lucas Thomas's grandmother Caroline returns every Valentine's Day to the station where, at their then first wedding anniversary, she waved off to the pacific war theatre in 1944 naval pilot Neil, officially still missing in action. Lucas, a former baseball star and reputable physiotherapist about to publish, tells the story to a station manager, who assigns the item to Susan Allison. She gets involved and befriends Caroline, but resists her crush on Lucas on account of an already soulless engagement with international reporter Andrew Hawthorne. Caroline's mild cardiac crisis seems to ruin everything."
Mahabharat,"Adventure, Drama, History",9.0,"Journey of Karna and Pandavas and their fates of their successors. As the conflict between the Pandavas and Kauravas grow, they meet up in battle where Karna has to fight against his brothers but instead sacrifices himself. The journey of Karna from being born illegitimately through Kunti and Surya to becoming the greatest warrior of Indian history. Lord Krishna enters later in the epic to help the Pandavas. Karna protects his brothers by giving away his Kawacha and Kundala and sacrifices his life for Pandavas."
Tiny Toon Adventures,"Animation, Adventure, Comedy",7.5,"In this series, a new generation of Looney Toon characters study at Acme Acres Looniversity under the instruction of the original characters. The leading characters are Buster and Babs Bunny (no relation) who, with their classmates, have a variety of adventures that are a mix of original stories, movie and television parodies, and modern remakes of classic Warner Brothers shorts."
Stick Man,"Animation, Adventure, Family",7.1,"Stick Man, an animated twig, lives with his Stick Lady Love and their children in the family tree. Out one day for a jog he meets a little boy who throws him for his dog to fetch, some children who play Pooh-sticks with him and a swan who uses him to build a nest before being washed out to sea and onto a beach far from home. After several other humiliating encounters throughout the year he has an unexpected saviour in the form of Santa Claus who helps him to get home for Christmas with his family."
Rubicon,"Crime, Drama, Mystery",7.9,Will Travers is an analyst at a New York City-based federal intelligence agency who is thrown into a story where nothing is as it appears to be.
Charlotte,"Animation, Drama, Family",7.5,"In an alternate world, a small percentage of children are able to manifest superpowers upon reaching puberty. Yuu Otosaka, a boy who awakens the ability to temporarily possess others, hopes to use his power to live an easy going high school life. However, he is caught red-handed by the mysterious Nao Tomori and is forced to transfer to Hoshinoumi Academy, where he and the other student council members must help students who have trouble controlling their abilities."
Dug moru,"Crime, Drama, Mystery",7.3,"Our story opens with a myth that every year seven people end up in the sea, because the sea is the beginning and the end of everything, it is the source of life and of survival, therefore a human sacrifice must be presented to it, willingly or unwillingly. The story is set in a place connecting present times and the past, the characters present and those disappeared, the living and the dead. Myths and legends determine the lives of the characters of the series ""Debt to the Sea"" in a specific way, and their interconnected complex destinies are told in a mystic atmosphere. Is the legend about the sea taking human offerings true? Are only the two stones with the same sign carved in them to be blamed for all the events, or are the reasons hidden among people and their secrets?"
Patriot Act with Hasan Minhaj,"Comedy, News, Talk-Show",8.3,"In this weekly show, the former Daily Show correspondent Hasan Minhaj brings his unique comedic voice and storytelling skill to explore the larger grim trends shaping our fragmented world."
Psychoville,"Comedy, Horror, Mystery",7.9,"A group of seemingly unrelated strangers all receive a mysterious note stating ""I know what you did"", and it sends their lives into a downward spiral. They include a birthing coach nurse who believes her practice doll is a real baby; an alcoholic, one-handed clown; a young man obsessed with serial killers; a telekinetic dwarf; and a miserly old man with the world's biggest Beanie Baby collection."
The Movies That Made Us,"Documentary, Family, History",7.6,"Unwrap the real stories behind these iconic blockbusters, thanks to insider interviews and behind-the-scenes peeks."
Santa Claus Is Comin' to Town,"Animation, Adventure, Comedy",7.7,"The Mailman decides to answer some of the most common questions about Santa Claus, and tells us about a small baby named Kris who was left on the doorstep of the Kringle family (toymakers). When Kris grew up, he wanted to deliver toys to the children of Sombertown. But its Burgermeister (Herr Meisterburger) is too mean to let that happen. And to make things worse, there's an evil wizard named Winter who lives between the Kringles and Sombertown, but Kris manages to melt Winter's heart (as well as the comely schoolteacher's) and deliver his toys."
Marvel Studios: Assembled,Documentary,7.9,"Assembled is a comprehensive documentary series that chronicles the creation of Marvel Studios' thrilling new shows and theatrical releases. Assembled is an immersive, and in-depth examination of the next phase of the MCU."
"Dr. Katz, Professional Therapist","Animation, Comedy",7.6,"A divorced father, he has custody of his 23-year-old slacker son Ben, who dreams of wealth and freedom but is too lazy to find a real job. Dr. Katz's receptionist is the acerbic Laura. He spends his free time in the bar ""Jacky's 33"" with his friends Stan and Julie, the bartender."
Dark Shadows,"Drama, Horror, Romance",7.5,"In the year 1752, Joshua and Naomi Collins, with young son Barnabas, set sail from Liverpool, England to start a new life in America. But even an ocean was not enough to escape the mysterious curse that has plagued their family. Two decades pass and Barnabas (Johnny Depp) has the world at his feet-or at least the town of Collinsport, Maine. The master of Collinwood Manor, Barnabas is rich, powerful and an inveterate playboy...until he makes the grave mistake of breaking the heart of Angelique Bouchard (Eva Green). A witch, in every sense of the word, Angelique dooms him to a fate worse than death: turning him into a vampire, and then burying him alive. Two centuries later, Barnabas is inadvertently freed from his tomb and emerges into the very changed world of 1972. He returns to Collinwood Manor to find that his once-grand estate has fallen into ruin. The dysfunctional remnants of the Collins family have fared little better, each harboring their own dark secrets. Matriarch Elizabeth Collins Stoddard (Michelle Pfeiffer) has called upon live-in psychiatrist, Dr. Julia Hoffman (Helena Bonham Carter), to help with her family troubles."
Karakai Jouzu no Takagi-san,"Animation, Comedy, Romance",7.7,"""If you blush, you lose"". Living by this principle, middle schooler Nishikata gets constantly made fun of by his seat neighbor Takagi-san. With his pride shattered to pieces, he vows to turn the tables and get back at her some day. And so, he attempts to tease her day after day, only to find himself victim to Takagi-san's ridicule again sooner than later. Will he be able to make Takagi-san blush from embarrassment even once in the end?"
Wit,Drama,8.0,"Based on the Margaret Edson play, Vivian Bearing is a literal, hardnosed English professor who has been diagnosed with terminal ovarian cancer. During the story, she reflects on her reactions to the cycle the cancer takes, the treatments, and significant events in her life. The people that watch over her are Jason Posner, who only finds faith in being a doctor; Susie Monahan, a nurse with a human side that is the only one in the hospital that cares for Vivian's condition; and Dr. Kelekian, the head doctor who just wants results no matter what they are."
Barbie: Life in the Dreamhouse,"Animation, Short, Comedy",7.4,Barbie has various misadventures with her friends and sisters in a doll-sized version of Malibu.
The New Statesman,Comedy,7.8,"Tells the adventures of Conservative MP Alan B'Stard, a man who doesn't have any morals at all. He stops at nothing to make himself richer and more powerful in the party and is involved in drugs, adult films, fraud (making up charities with the initials C.A.S.H when writing on cheques) and even murder but believes that he will never be caught as he is a Conservative MP and therefore all powerful. He has almost complete power over another MP - Piers Fletcher-Dervish who is nearly completely brainless. His wife Sarah B'Stard has very loose morals (both of them have affairs mostly every day) and has hated her husband from five minutes after they got married and tries to use Alan to get anything she wants. Each episode contains recent news items and Alan moves with the times with things like the end of the cold war, the Nazi hunt in the late 80's as well as the Animal Freedom Party. Keeping up with the huge amount of cash, Alan moves (in the 4th season) to the European Union to continue to make herself richer and to climb to the most powerful position he can reach..."
Brian's Song,"Biography, Drama, Sport",7.5,"Gale Sayers joins the Chicago Bears and is befriended by Brian Piccolo, an over-achieving running back. Although they compete for the same spot on the team, and despite the fact that Sayers is black and Piccolo white, they become roommates on the road and very close friends, especially when Sayers is injured and Piccolo helps his recovery. Later, they and their wives must both deal with the harsh reality of Piccolo's cancer."
The Brink,Comedy,7.7,"A new half hour comedy series, The BRINK focuses on a geopolitical crisis which tie three men together. The US Secretary of State - Walter Larson (Tim Robbins); a lowly Foreign Service Officer - Alex Talbot (Jack Black); and an ace Navy Fighter Pilot, Zeke Tilson (Pablo Schreiber). These three men must somehow pull through the chaos around them to save the planet from World War III."
Yesilçam,"Drama, History, Romance",7.8,"Showcasing Turkey of the 1960s, while it follows a film producer who will tell the story of survival in Yesilcam as he experiences the golden age of Turkish cinema."
Äkta människor,"Drama, Sci-Fi, Thriller",7.9,"In a parallel present the artificial human has come into its own. Robots no longer have anything robot-like about them. New technology and advancements in the field of science have made it possible to manufacture a product - a kind of mechanized servant - that is so similar to a real human that it can often be considered a perfectly good substitute. The Human Robot (HUBOT) have also given rise to new problems and dilemmas. Thorny legal questions have increasingly started to occupy people's minds and are still waiting to be answered: Who is responsible for the actions of a hubot? Do hubots have some form of ""hubot rights""? Should they be paid for their work? As an ever growing number of people form relationships with hubots, the boundaries between human and machine become blurred. When humans make copies of themselves, which are so close to the real thing they form emotional bonds, the questions arises - What does it really mean to be 'human'?"
Canada's Drag Race,"Game-Show, Reality-TV",7.4,"12 drag queens compete to become Canada's Next Drag Superstar through challenges demonstrating their charisma, uniqueness, nerve and talent."
Blue Period,"Animation, Drama",7.7,"Yatora Yaguchi is a fairly popular student who excels in school, but often deals with inner emptiness and frustrations. One day he became fascinated by a painting at his high school's art club so deeply that it inspired him to try his hand at painting. Later he was inspired by a friend Ryuji and subsequently joining the art club, becoming more deeply involved, and attempts to apply for the Tokyo University of the Arts as his choice of college."
John from Cincinnati,"Drama, Fantasy, Mystery",7.0,"In Imperial Beach, California, the dysfunctional Yost family intersects with two new arrivals to the community: a dim-but-wealthy surfing enthusiast, and a man spurned by the Yosts years ago."
Mahouka koukou no rettousei,"Animation, Action, Drama",7.1,"Looking at Miyuki and Tatsuya now, it might be hard to imagine them as anything other than loving siblings. But it wasn't always this way - Three years ago, Miyuki was always uncomfortable around her older brother. The rest of the..."
Gôruden taimu,"Animation, Comedy, Drama",7.6,An old TV set find itself abandoned in a junkyard.
Sym-Bionic Titan,"Animation, Action, Adventure",8.1,"Three young alien beings with the ability to form a giant robotic warrior attempt to blend into suburbia, all while battling the tyrannical forces that ravaged their home world."
Misaeng,Drama,8.5,"Since he was a child, the board game baduk has been everything to Jang Geu-rae. But when he fails at achieving his dream of becoming a professional baduk player, Geu-rae must leave his isolated existence and enter the real world armed with nothing but a high school equivalency exam on his resume. Through an acquaintance's recommendation, he gets hired as an intern at One International, a large trading company. There, Geu-rae meets his boss, manager Oh Sang-shik, who's a workaholic and has a warm personality; fellow intern Ahn Young-yi, who attracts her colleagues' ire because of her impressive educational credentials and by being extremely competent at any task; and Jang Baek-gi, a geeky co-worker whose anxious nature masks his inner ambition. Geu-rae learns to navigate and adapt to corporate culture, with baduk as his guide."
The Tick,"Animation, Action, Adventure",7.8,"In a world where superheroes have been real for decades, an accountant with no superpowers comes to realize his city is owned by a super villain. As he struggles to uncover this conspiracy, he falls in league with a strange blue superhero."
No Tomorrow,"Comedy, Drama, Romance",7.2,"Evie, a risk-averse quality-control assessor falls for free-spirited thrill seeker Xavier only to find out he lives his life that way because he believes the apocalypse is coming."
Jem,"Animation, Adventure, Drama",7.4,"Jerrica Benton is the owner of Starlight Music and the Starlight Foundation, which is a foster home for young girls. But by using her earrings to project a holographic image over herself, she is transformed into her alter ego Jem, the lead singer for the successful music group, Jem and the Holograms. Other members of the group are Jerrica's sensitive little sister Kimber, the strong-willed Aja, and the creative Shana. The group's rivals are The Misfits, made up of the cold-hearted Pizzazz, the tough-acting Roxy, and the humble Stormer. Jem and her friends are always involved in glamorous and exciting adventures around the world, while touching people's hearts with their hit songs."
Wonder Egg Priority,"Animation, Action, Drama",7.5,"While on a midnight stroll, a girl named Ai picks up an egg. A voice coaxes her: ""If you want to change the future, you only need to choose now. Now, believe in yourself and break the egg."" What awaits Ai after the breaking of the egg?"
Him & Her,Comedy,7.8,"HIM is struggling with a fractured family life, adolescence, failing grades and feelings he cannot control. However, unlike other 17-year-olds HIM also has to learn to master the supernatural power he has inherited from his grandfather."
South of Nowhere,"Drama, Romance",7.9,"A family moves from Ohio to Los Angeles, where they realize they are unprepared for the city's fast pace and the overcrowded public school that the three teenagers will attend."
Penoza,"Crime, Drama, Thriller",8.2,"Penoza takes us to the Amsterdam underworld where we meet drug lord Frans and wife Carmx. After their son, at 10, threatens a child with a gun, Carmen presents Frans with an ultimatum: get out of the criminal life or lose your family. But they end up losing Frans, who's shot dead, leaving Carmen to deal with the debts he leaves behind, not to mention other unfinished business. With a mobster father, Carmen isn't inexperienced in this life, and proves rather adept at coping with the clean-up. Will she be able to walk away?"
Vivy: Fluorite Eye's Song,"Animation, Action, Adventure",8.1,"The female looking and first autonomous AI named Diva is created for one mission to make everyone happy by singing. Shortly Diva is confronted by an unknown ""program"" from the future with objective to make Diva join him and destroy AIs."
The Hollow,"Animation, Drama, Family",7.2,"Three teen strangers wake up in a mysterious land with no memory and no idea what is happening. Together they must work together and fight through the wild challenges present in the strange fantasy world. Along the way, they discover new strengths to assist them in their long journey."
Uprising,"Drama, War",7.2,"Using radically refashioned archival footage of the Warsaw ghetto, this interview with Jon Avnet the director of Uprising talks about Marek Edelman who is an evocative memoir of his role in the rebellion that held back the Nazis for almost a month in 1943. The film begins with the growing list of prohibitions and regulations leading to the virtual imprisonment of about half-a-million Polish Jews in an old slum district of Warsaw with inadequate space and plumbing. An overhead tracking shot shows the number of people assembled in the first months of the relocation. The daily struggle against hunger and disease, especially among the dispossessed arrivals seen in their pitful rags, is aggravated by the German demands for ""deportations to the east"" that many begin to suspect are camouflaged mass murders. By the close of 1942, people living in the ghetto realize they are doomed, and the rudiments of resistance are planned by a handful of the young, including Edelman. Following some sporadic, spontaneous fighting at the ghetto railhead, the Umschlagplatz, in January, led by Moredecai Anielewicz, the scene is set for the more famous and prolonged battle that will begin on 19 April 1943. In the intervening time, many of the ghetto residents construct hidden shelters or bunkers in the basements and cellars of the buildings, often with tunnels leading to other buildings. The handful of fighters who have weapons take to these shelters, giving the uprising the advantage of defensive positions."
Upper Middle Bogan,Comedy,7.9,"The story of two families living at opposite ends of the freeway. Bess Denyar is a doctor with a posh mother, Margaret, an architect husband, Danny Bright, and 13-year-old twins, Oscar and Edwina, at a private school. Bess is stunned when she learns she's adopted, but even more so when she meets her birthparents, Wayne and Julie Wheeler; and her three siblings: Amber, Kayne, and Brianna. The 'bogan' Wheelers, who head up a drag-racing team in the outer suburbs, are thrilled to discover the daughter they thought they had lost."
Beetlejuice,"Animation, Short, Adventure",7.3,"Adam and Barbara are a normal couple...who happen to be dead. They have given their precious time to decorate their house and make it their own, but unfortunately a family is moving in, and not quietly. Adam and Barbara try to scare them out, but end up becoming the main attraction to the money making family. They call upon Beetlejuice to help, but Beetlejuice has more in mind than just helping."
Sixer,"Drama, Sport",8.6,A ragtag group of cricketers and cricket enthusiasts come together overcoming personal odds and help each other to give a clear shot at winning the local tennis ball cricket tournament.
Dag,"Comedy, Drama",8.5,"Dag is a Norwegian comedy series about a marriage counselor who thinks people should live in solitude. He hates spending time with other people, except his friend Benedict, who is struggling to be faithful in his own relationship. Dag's life changes when his well-meaning sister, Marianne, forces him to go on his nineteenth blind-date with her old childhood friend, Eva."
Home for Christmas,"Comedy, Drama, Romance",7.7,"When the constant comments on her single status and society's expectations of the perfect family Christmas finally get to 30-year-old Johanne, she starts a 24-day hunt for a partner to bring home for Christmas."
Freakazoid!,"Animation, Short, Action",7.5,"Computer geek Dexter Douglas (David Haufman) turns into uncontrollable, unpredictable superhero Freakazoid (Paul Rugg), who dons red long underwear, blue skin, and weird hair. The transformation occurs while Dexter surfs on the internet. As a superhero, he fights crime whenever he sees it perpetrated by goofy villains, with his friends Steff (Tracy Rowe) and Sergeant Mike Cosgrove (Edward Asner)."
The War at Home,"Comedy, Romance",7.5,"When Dave and Vicky were growing up, their parents had it easy. Back then, there were no ""time-outs,"" no one had any ""boundaries"" and their parents had no idea what their kids were really up to. Now Dave and Vicky have teenagers of their own, and anything their kids might even think about doing, Dave and Vicky have already done at least twice. But knowledge isn't power, it's a giant pain as every day is a battle to keep their kids in line. Fifteen-year-old Larry isn't exactly a frequent diner at the 'cool kids' table in the cafeteria, while 16-year-old Hillary is a know-it-all and is just emerging onto the dating scene. Meanwhile, thirteen-year-old Mike is all hormones and video games. Dave and Vicky figure if they can send these three off to college without a police record or kids of their own, they've done their job. This witty, irreverent show goes inside the heads of a modern family through the use of a confessional space where the characters reveal everything they could never actually say to one another."
Come Fly with Me,Comedy,7.5,"The Little Britain team parodies the various types of characters associated with life in a major British airport. That includes flight and ground staff from regular - and low budget airlines, as well as officials from customs and immigration, plus some colorful passengers, some up to no good either."
Off the Map,"Action, Adventure, Drama",7.2,"This series follows doctors working in a clinic in a South American jungle. The head of the clinic is Ben Keeton. Otis Cole is doctor who had a substance abuse problem. Zita Alvarez is Ben's right hand. Lily Brenner is trying to cope with a loss. Tommy Fuller who is an easy going guy, who makes mistakes. Mina Minard, a doctor who made a mistake which affected her confidence. And Ryan Clark, a doctor whom Ben likes."
"Three Lives Three Worlds, Ten Miles of Peach Blossom","Drama, Fantasy, Romance",8.3,Two deities Ye Hua and Bai Qian meet and fall in love. Their love story transcends time and has become a legend.
Zach Stone Is Gonna Be Famous,Comedy,8.3,"After recently graduating high school, young Zach Stone opts out of a college to pursue the New American Dream: becoming famous with no talent whatsoever."
A Gifted Man,"Drama, Fantasy",7.0,"Michael Holt is a successful doctor who has a thriving practice. One day he runs into his ex-wife Anna, also a doctor. They spend some time together. He later learns that she died before he met her. He goes to her memorial and learns she was working in an inner-city clinic, and when he goes there, he can't help but assist. Before long, people from the clinic come to see him. He continues to see Anna, who tries to get him to do good. He decides to work at the clinic as well as at his practice."
Conviction,Drama,7.1,"Betty Anne Waters (Swank) is a high school dropout who spent nearly two decades working as a single mother while putting herself through law school, tirelessly trying to beat the system and overturn her brother's (Rockwell) unjust murder conviction."
"Yes, Prime Minister",Comedy,8.6,"Following on from Yes Minister, Jim Hacker is now Prime Minister and Sir Humphrey Appleby is Cabinet Secretary. Bernard is also along for the ride, as Hacker's personal secretary. As in their previous roles, their jobs often devolve into a battle of agendas, ideals, wills and wits between Hacker and Sir Humphrey."
Superjail!,"Animation, Action, Comedy",7.7,"In a surreal world, a large maximum security prison, which houses thousands of dangerous inmates is run by an eccentric warden and his equally odd staff."
The Increasingly Poor Decisions of Todd Margaret,Comedy,7.5,"Todd Margaret is an American who takes a job running the London sales team for an energy drink. He has no experience with British culture, knows nothing about sales and has only one employee, Dave."
